代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
000513.SZ,丽珠集团,2018-01-08,71.48,71.49,69.75,71.27,6938974,
000513.SZ,丽珠集团,2018-01-09,71.62,73.69,71.18,72.47,8903423,
000513.SZ,丽珠集团,2018-01-10,72.55,73.7,70.9,71.61,7624064,
000513.SZ,丽珠集团,2018-01-11,71.5,72.22,70.09,71.29,4584087,
000513.SZ,丽珠集团,2018-01-12,71.38,74,70.51,73.98,9177262,
000513.SZ,丽珠集团,2018-01-15,74.13,79.79,73,77.7,16845666,
000513.SZ,丽珠集团,2018-01-16,76.8,79.97,76.5,78.5,9145652,
000513.SZ,丽珠集团,2018-01-17,78,79.3,76.46,77.33,8537240,
000513.SZ,丽珠集团,2018-01-18,77.81,78.16,75.83,76.49,5529153,
000513.SZ,丽珠集团,2018-01-19,76.5,76.97,75.13,75.53,4071850,
000513.SZ,丽珠集团,2018-01-22,75.7,78.88,75.69,78,7470428,
000513.SZ,丽珠集团,2018-01-23,78.15,79.29,76.8,77.5,5800631,
000513.SZ,丽珠集团,2018-01-24,79.6,82.8,78.62,78.69,9850770,
000513.SZ,丽珠集团,2018-01-25,78.55,78.55,75.82,75.88,8889252,
000513.SZ,丽珠集团,2018-01-26,76.5,77.27,75.3,76.1,6013570,
000513.SZ,丽珠集团,2018-01-29,76,76.5,72.8,73.96,6820854,
000513.SZ,丽珠集团,2018-01-30,73.63,74.8,73.15,74.17,3915483,
000513.SZ,丽珠集团,2018-01-31,73.7,74.85,73.3,73.41,4694663,
000513.SZ,丽珠集团,2018-02-01,73.77,73.78,70.14,70.85,6410571,
000513.SZ,丽珠集团,2018-02-02,69.87,72.51,69.87,72.45,4841432,
000513.SZ,丽珠集团,2018-02-05,71.2,72.25,68.24,71.16,5867739,
000513.SZ,丽珠集团,2018-02-06,69.67,69.67,66,66,6819938,
000513.SZ,丽珠集团,2018-02-07,67.82,68.5,65,66.5,5760399,
000513.SZ,丽珠集团,2018-02-08,66.5,67.8,66.05,67.11,4468382,
000513.SZ,丽珠集团,2018-02-09,65,65.7,62.06,63.37,5808130,
000513.SZ,丽珠集团,2018-02-12,64,66.97,63.88,66.69,5429376,
000513.SZ,丽珠集团,2018-02-13,67,68.84,67,67.46,5038521,
