代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
000504.SZ,南华生物,2018-01-08,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-09,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-10,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-11,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-12,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-15,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-16,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-17,25.33,25.33,25.33,25.33,--,
000504.SZ,南华生物,2018-01-18,23.65,26.8,23.56,25.34,7500716,
000504.SZ,南华生物,2018-01-19,25.38,25.8,24.68,25.31,2888528,
000504.SZ,南华生物,2018-01-22,25.03,26.34,25.01,26.09,4150832,
000504.SZ,南华生物,2018-01-23,26,26.28,25.8,26,2501930,
000504.SZ,南华生物,2018-01-24,26.14,26.49,25.79,26.28,3032750,
000504.SZ,南华生物,2018-01-25,27,27,25.95,25.99,2665798,
000504.SZ,南华生物,2018-01-26,25.83,26.12,25.69,25.73,2050401,
000504.SZ,南华生物,2018-01-29,25.71,26.12,25.55,25.83,1783747,
000504.SZ,南华生物,2018-01-30,25.83,26.38,25.6,26.01,2388466,
000504.SZ,南华生物,2018-01-31,25.91,26.13,25.63,25.84,1359616,
000504.SZ,南华生物,2018-02-01,25.78,25.84,24.12,25.1,4624189,
000504.SZ,南华生物,2018-02-02,24.85,26.1,22.59,22.59,7091820,
000504.SZ,南华生物,2018-02-05,20.39,22.96,20.39,22.89,4432730,
000504.SZ,南华生物,2018-02-06,23.03,23.03,22.2,22.68,3393796,
000504.SZ,南华生物,2018-02-07,22.99,23.19,22.61,22.97,1587206,
000504.SZ,南华生物,2018-02-08,23.1,23.15,22.2,23.05,1429946,
000504.SZ,南华生物,2018-02-09,22.91,22.91,22.06,22.85,2182180,
000504.SZ,南华生物,2018-02-12,22.6,22.87,22.3,22.6,2335102,
000504.SZ,南华生物,2018-02-13,22.7,23.3,22.3,22.9,1379200,
000504.SZ,南华生物,2018-02-14,23,23.01,22.65,22.93,440303,
000504.SZ,南华生物,2018-02-22,23,23.16,22.92,22.95,1340000,
000504.SZ,南华生物,2018-02-23,22.94,23.08,22.7,22.94,613007,
000504.SZ,南华生物,2018-02-26,22.95,23.88,22.94,23.8,1287403,
000504.SZ,南华生物,2018-02-27,23.8,23.81,23.51,23.68,1106305,
000504.SZ,南华生物,2018-02-28,23.48,25.08,23.41,25.03,3596529,
000504.SZ,南华生物,2018-03-01,24.5,25.5,24.3,25.14,2209994,
000504.SZ,南华生物,2018-03-02,25.1,25.28,24.9,25.15,1688750,
000504.SZ,南华生物,2018-03-05,25.15,25.3,24.4,24.78,2371201,
000504.SZ,南华生物,2018-03-06,24.69,24.82,23.78,23.94,2468200,
000504.SZ,南华生物,2018-03-07,23.8,24.19,23.55,23.87,1767759,
000504.SZ,南华生物,2018-03-08,23.8,24.58,23.6,24.49,1435433,
000504.SZ,南华生物,2018-03-09,24.49,24.7,24.29,24.7,1076530,
