代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
000510.SZ,新金路,2018-01-08,8.5,8.63,8.34,8.58,9533166,
000510.SZ,新金路,2018-01-09,8.58,8.61,8.37,8.43,5752601,
000510.SZ,新金路,2018-01-10,8.48,8.48,8.3,8.3,4793595,
000510.SZ,新金路,2018-01-11,8.3,8.48,8.19,8.43,11674721,
000510.SZ,新金路,2018-01-12,8.41,8.64,8.39,8.61,8867319,
000510.SZ,新金路,2018-01-15,8.61,8.73,8.5,8.61,8534601,
000510.SZ,新金路,2018-01-16,8.61,8.65,8.51,8.55,4407801,
000510.SZ,新金路,2018-01-17,8.55,8.61,8.36,8.41,6468698,
000510.SZ,新金路,2018-01-18,8.39,8.55,8.32,8.32,4905682,
000510.SZ,新金路,2018-01-19,8.29,8.33,8.1,8.15,4500544,
000510.SZ,新金路,2018-01-22,8.12,8.52,7.91,8.47,11691704,
000510.SZ,新金路,2018-01-23,8.45,8.48,8.31,8.4,5355272,
000510.SZ,新金路,2018-01-24,8.4,8.51,8.31,8.42,6211046,
000510.SZ,新金路,2018-01-25,8.4,8.43,8.35,8.36,3589401,
000510.SZ,新金路,2018-01-26,8.39,8.64,8.33,8.44,5395037,
000510.SZ,新金路,2018-01-29,8.41,8.45,8.19,8.21,4978900,
000510.SZ,新金路,2018-01-30,8.27,8.27,8.15,8.19,2166900,
000510.SZ,新金路,2018-01-31,8.19,8.22,7.98,8.04,5484775,
000510.SZ,新金路,2018-02-01,8.06,8.09,7.68,7.72,6023215,
000510.SZ,新金路,2018-02-02,7.42,7.68,6.95,7.15,8388529,
000510.SZ,新金路,2018-02-05,7,7.09,6.88,6.9,5508023,
000510.SZ,新金路,2018-02-06,6.8,6.8,6.21,6.21,10508776,
000510.SZ,新金路,2018-02-07,6.32,6.46,6.1,6.39,6071383,
000510.SZ,新金路,2018-02-08,6.39,6.49,6.32,6.44,3194300,
000510.SZ,新金路,2018-02-09,6.09,6.39,6.09,6.37,4095827,
000510.SZ,新金路,2018-02-12,6.38,6.56,6.37,6.5,2784401,
000510.SZ,新金路,2018-02-13,6.61,6.7,6.51,6.54,3028204,
000510.SZ,新金路,2018-02-14,6.6,6.6,6.47,6.56,1367200,
000510.SZ,新金路,2018-02-22,6.7,6.74,6.61,6.69,1832701,
000510.SZ,新金路,2018-02-23,6.7,6.75,6.64,6.68,1820900,
000510.SZ,新金路,2018-02-26,6.68,7.35,6.68,7.19,6615651,
000510.SZ,新金路,2018-02-27,7.14,7.19,7.06,7.12,3636365,
000510.SZ,新金路,2018-02-28,7.07,7.2,6.97,7.1,2583151,
000510.SZ,新金路,2018-03-01,7.08,7.14,7.03,7.09,1884368,
000510.SZ,新金路,2018-03-02,7.11,7.16,7.02,7.1,2774801,
000510.SZ,新金路,2018-03-05,7.1,7.13,7.04,7.11,1510002,
000510.SZ,新金路,2018-03-06,7.08,7.14,7.04,7.14,2614602,
000510.SZ,新金路,2018-03-07,7.19,7.33,7.1,7.1,3793801,
000510.SZ,新金路,2018-03-08,7.15,7.15,7.05,7.11,2214204,
000510.SZ,新金路,2018-03-09,7.09,7.16,7.07,7.15,2770505,
000510.SZ,新金路,2018-03-12,7.17,7.29,7.14,7.28,4969217,
000510.SZ,新金路,2018-03-13,7.22,7.46,7.21,7.26,4060799,
000510.SZ,新金路,2018-03-14,7.26,7.35,7.2,7.21,2453000,
000510.SZ,新金路,2018-03-15,7.16,7.19,7,7.05,4343712,
000510.SZ,新金路,2018-03-16,7.05,7.13,7.02,7.06,1961317,
