代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
000505.SZ,京粮控股,2018-01-08,8.85,8.87,8.7,8.72,4042300,
000505.SZ,京粮控股,2018-01-09,8.72,9.35,8.59,9.03,6022203,
000505.SZ,京粮控股,2018-01-10,8.91,8.95,8.71,8.78,3789284,
000505.SZ,京粮控股,2018-01-11,8.75,8.76,8.54,8.68,2830900,
000505.SZ,京粮控股,2018-01-12,8.68,8.96,8.56,8.88,4599300,
000505.SZ,京粮控股,2018-01-15,8.8,8.8,8.33,8.33,4021100,
000505.SZ,京粮控股,2018-01-16,8.33,8.6,8.28,8.5,3595593,
000505.SZ,京粮控股,2018-01-17,8.43,8.63,8.33,8.43,3013806,
000505.SZ,京粮控股,2018-01-18,8.39,8.53,8.39,8.49,2275311,
000505.SZ,京粮控股,2018-01-19,8.5,8.55,8.39,8.39,2268207,
000505.SZ,京粮控股,2018-01-22,8.39,8.5,8.31,8.44,2132401,
000505.SZ,京粮控股,2018-01-23,8.5,8.72,8.41,8.6,4744403,
000505.SZ,京粮控股,2018-01-24,8.58,8.62,8.46,8.53,3371771,
000505.SZ,京粮控股,2018-01-25,8.6,8.6,8.4,8.41,4254183,
000505.SZ,京粮控股,2018-01-26,8.37,8.49,8.35,8.42,2954434,
000505.SZ,京粮控股,2018-01-29,8.54,9.26,8.54,9.26,8198394,
000505.SZ,京粮控股,2018-01-30,9.39,10.19,9.26,10.19,16350823,
000505.SZ,京粮控股,2018-01-31,10.79,11.2,9.83,9.98,38727375,
000505.SZ,京粮控股,2018-02-01,9.66,9.82,9.01,9.28,26009619,
000505.SZ,京粮控股,2018-02-02,9,9.05,8.39,8.58,19867935,
000505.SZ,京粮控股,2018-02-05,8.38,8.74,8.28,8.43,12446093,
000505.SZ,京粮控股,2018-02-06,7.9,8.08,7.59,7.59,16415041,
000505.SZ,京粮控股,2018-02-07,7.69,7.84,7.26,7.47,9559700,
000505.SZ,京粮控股,2018-02-08,7.41,7.72,7.34,7.65,6989994,
000505.SZ,京粮控股,2018-02-09,7.31,7.39,6.92,6.97,8306464,
000505.SZ,京粮控股,2018-02-12,7.09,7.24,7.02,7.17,4788301,
000505.SZ,京粮控股,2018-02-13,7.23,7.37,7.15,7.3,5096390,
000505.SZ,京粮控股,2018-02-14,7.25,8.03,7.23,8.03,8454283,
000505.SZ,京粮控股,2018-02-22,8.38,8.78,8.15,8.2,17027238,
000505.SZ,京粮控股,2018-02-23,8,8.16,7.96,8.05,9022814,
000505.SZ,京粮控股,2018-02-26,8.05,8.22,8,8.12,8636700,
000505.SZ,京粮控股,2018-02-27,8.1,8.29,8.05,8.18,6845011,
000505.SZ,京粮控股,2018-02-28,8.1,8.13,7.96,8.05,5462411,
000505.SZ,京粮控股,2018-03-01,8.02,8.45,8.02,8.22,10027140,
000505.SZ,京粮控股,2018-03-02,8.1,8.26,8,8.17,7034200,
000505.SZ,京粮控股,2018-03-05,8.14,8.28,8.05,8.19,4560920,
000505.SZ,京粮控股,2018-03-06,8.12,8.55,8.01,8.35,9424770,
000505.SZ,京粮控股,2018-03-07,8.3,8.73,8.22,8.51,10728759,
000505.SZ,京粮控股,2018-03-08,8.4,8.57,8.36,8.45,6309803,
000505.SZ,京粮控股,2018-03-09,8.47,8.77,8.46,8.71,9480809,
000505.SZ,京粮控股,2018-03-12,8.72,9.1,8.56,9,11764689,
000505.SZ,京粮控股,2018-03-13,9.17,9.18,8.56,8.56,11878211,
000505.SZ,京粮控股,2018-03-14,8.44,8.71,8.28,8.45,7980636,
000505.SZ,京粮控股,2018-03-15,8.26,8.46,8.23,8.31,4801106,
000505.SZ,京粮控股,2018-03-16,8.28,8.46,8.26,8.42,4005098,
000505.SZ,京粮控股,2018-03-19,8.42,8.47,8.08,8.14,5273694,
000505.SZ,京粮控股,2018-03-20,8.05,8.15,7.92,8,4328701,
000505.SZ,京粮控股,2018-03-21,8,8.31,7.95,8.07,5737383,
000505.SZ,京粮控股,2018-03-22,8.06,8.19,8.01,8.12,3583323,
000505.SZ,京粮控股,2018-03-23,7.98,8.93,7.75,8.7,27245841,
000505.SZ,京粮控股,2018-03-26,8.5,8.68,7.83,8.28,19338884,
000505.SZ,京粮控股,2018-03-27,8.17,8.48,8.11,8.45,12245730,
000505.SZ,京粮控股,2018-03-28,8.25,8.74,8.15,8.51,11931478,
000505.SZ,京粮控股,2018-03-29,8.52,8.61,8.32,8.57,8926916,
000505.SZ,京粮控股,2018-03-30,8.6,8.9,8.57,8.75,13266644,
000505.SZ,京粮控股,2018-04-02,8.84,9,8.64,8.95,12849879,
000505.SZ,京粮控股,2018-04-03,8.75,9.85,8.7,9.85,42002691,
000505.SZ,京粮控股,2018-04-04,10.16,10.76,9.9,10.23,45771893,
000505.SZ,京粮控股,2018-04-09,10.31,10.8,9.92,10.45,38504099,
000505.SZ,京粮控股,2018-04-10,10.27,10.33,9.41,9.41,22399783,
000505.SZ,京粮控股,2018-04-11,9.08,9.48,8.86,9.4,23892319,
000505.SZ,京粮控股,2018-04-12,9.35,9.74,9.3,9.65,16995185,
000505.SZ,京粮控股,2018-04-13,9.51,9.58,9.11,9.19,13558515,
000505.SZ,京粮控股,2018-04-16,10,10.11,9.66,10.11,39252490,
000505.SZ,京粮控股,2018-04-17,10.11,10.11,9.1,9.33,40668431,
000505.SZ,京粮控股,2018-04-18,9.05,9.14,8.61,8.87,20269483,
000505.SZ,京粮控股,2018-04-19,8.85,9.06,8.62,8.91,12281951,
000505.SZ,京粮控股,2018-04-20,8.84,8.84,8.4,8.41,14513255,
000505.SZ,京粮控股,2018-04-23,8.48,8.49,8,8.08,10722194,
000505.SZ,京粮控股,2018-04-24,8.13,8.3,8.02,8.29,8079133,
000505.SZ,京粮控股,2018-04-25,8.2,8.35,8.18,8.23,6620001,
000505.SZ,京粮控股,2018-04-26,8.24,8.29,7.83,7.9,8561700,
000505.SZ,京粮控股,2018-04-27,7.96,8.1,7.94,8.01,4037400,
000505.SZ,京粮控股,2018-05-02,8.01,8.1,7.92,8.02,4424700,
000505.SZ,京粮控股,2018-05-03,8.03,8.13,7.82,8.08,7125701,
000505.SZ,京粮控股,2018-05-04,8.08,8.09,7.95,8,4804072,
000505.SZ,京粮控股,2018-05-07,7.99,8.07,7.95,8.07,5219488,
000505.SZ,京粮控股,2018-05-08,8.02,8.29,8.01,8.25,8687497,
000505.SZ,京粮控股,2018-05-09,8.21,8.25,8.13,8.16,6266311,
000505.SZ,京粮控股,2018-05-10,8.13,8.29,8.13,8.21,6658979,
000505.SZ,京粮控股,2018-05-11,8.26,8.26,7.97,8,6171994,
000505.SZ,京粮控股,2018-05-14,7.87,7.99,7.61,7.69,8552149,
000505.SZ,京粮控股,2018-05-15,7.67,7.79,7.57,7.78,4558807,
000505.SZ,京粮控股,2018-05-16,7.76,8.09,7.7,7.95,8225612,
000505.SZ,京粮控股,2018-05-17,7.95,8.01,7.76,7.8,5262918,
000505.SZ,京粮控股,2018-05-18,7.82,7.93,7.8,7.89,5905201,
000505.SZ,京粮控股,2018-05-21,7.9,8.23,7.83,8.07,11922098,
000505.SZ,京粮控股,2018-05-22,8.1,8.12,7.98,8.03,6628385,
000505.SZ,京粮控股,2018-05-23,8.01,8.23,7.9,8.05,11067617,
000505.SZ,京粮控股,2018-05-24,7.98,8.59,7.93,8.58,24742063,
000505.SZ,京粮控股,2018-05-25,8.5,8.5,8.26,8.32,12459101,
000505.SZ,京粮控股,2018-05-28,8.26,8.28,7.91,7.99,10181555,
000505.SZ,京粮控股,2018-05-29,7.92,7.99,7.67,7.7,8172766,
000505.SZ,京粮控股,2018-05-30,7.58,7.97,7.41,7.58,7728717,
000505.SZ,京粮控股,2018-05-31,7.62,7.9,7.57,7.78,6363333,
000505.SZ,京粮控股,2018-06-01,7.68,7.75,7.57,7.61,4311100,
000505.SZ,京粮控股,2018-06-04,7.77,7.88,7.7,7.77,6431003,
000505.SZ,京粮控股,2018-06-05,7.72,7.82,7.62,7.82,6252413,
000505.SZ,京粮控股,2018-06-06,7.77,7.84,7.72,7.83,4010557,
000505.SZ,京粮控股,2018-06-07,7.83,7.92,7.76,7.89,4518095,
000505.SZ,京粮控股,2018-06-08,7.85,7.94,7.75,7.81,4272396,
000505.SZ,京粮控股,2018-06-11,7.75,7.75,7.6,7.65,3620294,
000505.SZ,京粮控股,2018-06-12,7.66,7.7,7.45,7.65,3090201,
000505.SZ,京粮控股,2018-06-13,7.66,7.87,7.57,7.59,3468620,
000505.SZ,京粮控股,2018-06-14,7.61,7.65,7.4,7.42,3976798,
000505.SZ,京粮控股,2018-06-15,7.38,7.46,7.03,7.1,4646600,
000505.SZ,京粮控股,2018-06-19,7.31,7.31,6.39,6.4,7365753,
000505.SZ,京粮控股,2018-06-20,6.33,6.5,6.14,6.48,5499970,
000505.SZ,京粮控股,2018-06-21,6.42,6.49,6.11,6.13,3945000,
000505.SZ,京粮控股,2018-06-22,6.14,6.28,6.03,6.28,3042501,
000505.SZ,京粮控股,2018-06-25,6.35,6.44,6.2,6.28,2348137,
000505.SZ,京粮控股,2018-06-26,6.26,6.31,6.08,6.29,2232708,
000505.SZ,京粮控股,2018-06-27,6.26,6.32,6.18,6.24,1704250,
000505.SZ,京粮控股,2018-06-28,6.27,6.28,6.08,6.08,1872610,
000505.SZ,京粮控股,2018-06-29,6.08,6.28,6.06,6.25,2336503,
000505.SZ,京粮控股,2018-07-02,6.24,6.47,6.17,6.25,4371092,
000505.SZ,京粮控股,2018-07-03,6.19,6.39,6.16,6.39,2780601,
000505.SZ,京粮控股,2018-07-04,6.39,6.39,6.22,6.25,2019400,
000505.SZ,京粮控股,2018-07-05,6.25,6.3,5.86,5.87,3957800,
000505.SZ,京粮控股,2018-07-06,5.86,6.03,5.55,5.89,4634544,
000505.SZ,京粮控股,2018-07-09,5.86,5.98,5.8,5.96,2752800,
000505.SZ,京粮控股,2018-07-10,5.96,6.09,5.94,6,2468200,
000505.SZ,京粮控股,2018-07-11,5.94,5.95,5.7,5.84,2661401,
000505.SZ,京粮控股,2018-07-12,5.83,6.03,5.82,6,3045923,
000505.SZ,京粮控股,2018-07-13,6.12,6.18,5.96,6.03,3205000,
000505.SZ,京粮控股,2018-07-16,5.99,6.27,5.94,6.19,4638592,
000505.SZ,京粮控股,2018-07-17,6.18,6.18,6.02,6.1,3322802,
000505.SZ,京粮控股,2018-07-18,6.1,6.15,6.07,6.15,3373096,
000505.SZ,京粮控股,2018-07-19,6.15,6.17,6.09,6.14,1764701,
000505.SZ,京粮控股,2018-07-20,6.16,6.19,6.09,6.18,1884501,
000505.SZ,京粮控股,2018-07-23,6.6,6.79,6.4,6.44,12324126,
000505.SZ,京粮控股,2018-07-24,6.32,6.5,6.27,6.45,6557094,
000505.SZ,京粮控股,2018-07-25,6.46,6.96,6.37,6.68,7946687,
000505.SZ,京粮控股,2018-07-26,6.59,6.63,6.48,6.51,5099542,
000505.SZ,京粮控股,2018-07-27,6.51,6.54,6.42,6.47,2561100,
000505.SZ,京粮控股,2018-07-30,6.43,6.48,6.26,6.31,2721000,
